"","dorsal_UV","dorsal_VIS","dorsal_NIR","dorsal_solar_reflectance"
"MVZ165396",0.046521569,0.1109336,0.531384353,0.398289433
"MVZ165398",0.06644902,0.17057835,0.600066541,0.418162738
"MVZ165400",0.063074902,0.13789225,0.572057682,0.389346548
"MVZ165401",0.057928627,0.1394466,0.581698306,0.421431373
"MVZ165402",0.065292549,0.1562664,0.570236294,0.451330915
"MVZ180084",0.057889804,0.13645975,0.532478882,0.395910373
"MVZ180088",0.052020784,0.1319696,0.508928365,0.395379904
"MVZ180089",0.052385098,0.12884525,0.497312318,0.387328064
"MVZ180090",0.052041176,0.1231955,0.512928059,0.369672791
"MVZ165717",0.069546275,0.1829934,0.597880941,0.485145839
"MVZ165718",0.059786275,0.1547011,0.608012824,0.450317268
"MVZ165720",0.070417255,0.18931275,0.605946329,0.504189219
"MVZ165729",0.07318549,0.19822975,0.618193847,0.467773339
"MVZ165730",0.055804314,0.14046105,0.575952976,0.44935555
"MVZ1066",0.068977255,0.1687788,0.507045447,0.317591684
"MVZ74244",0.050446275,0.12853425,0.468866965,0.23666894
"MVZ74245",0.055509412,0.1333183,0.505428447,0.340030729
"MVZ74248",0.064516471,0.15616855,0.543555482,0.335995106
"MVZ74249",0.0567,0.14619945,0.506364435,0.298188033
"MVZ74251",0.056429804,0.135649,0.520205906,0.338801103
"MVZ74252",0.061497255,0.150448,0.540454976,0.348450191
"MVZ74253",0.076549412,0.17397995,0.539710259,0.314389127
"MVZ74254",0.062431765,0.15575475,0.535679753,0.350398966
"MVZ74255",0.066287451,0.1715432,0.543437294,0.40417028
"MVZ74457",0.064810196,0.15964135,0.523501365,0.363302775
"MVZ8090",0.085925882,0.2116896,0.579512965,0.391146894
"MVZ852",0.064261569,0.17899295,0.541679518,0.330596083
"MVZ853",0.083181961,0.1969446,0.573564976,0.332915832
"MVZ854",0.070830588,0.1907385,0.559804576,0.324876607
"MVZ855",0.067301569,0.1660723,0.513421118,0.350976005
"MVZ961",0.072201176,0.1818624,0.513276529,0.306852787
"MVZ966",0.061411765,0.16521375,0.539085071,0.390868184
"MVZ102733",0.071219608,0.16436965,0.514467318,0.401386188
"MVZ102734",0.078241569,0.19214185,0.539782235,0.423444771
"MVZ163175",0.056106667,0.122689,0.515090494,0.367056103
"MVZ163176",0.040237255,0.09464685,0.503813059,0.377452226
"MVZ163177",0.050867843,0.11769815,0.535646541,0.373769157
"MVZ163179",0.034356863,0.08436505,0.515041529,0.377903201
"MVZ163180",0.046467059,0.10172685,0.513611565,0.409045978
"MVZ163216",0.050110196,0.10959745,0.514706071,0.375466549
"MVZ163217",0.048150196,0.1084601,0.5199248,0.403193805
"MVZ163218",0.044861176,0.11182945,0.555285918,0.429477374
"MVZ163219",0.05138,0.12051875,0.511619106,0.397970023
"MVZ163220",0.046371765,0.1161134,0.5387918,0.435123507
"MVZ163234",0.049056863,0.11276335,0.533641012,0.42109074
"MVZ163237",0.054556078,0.1432355,0.583870976,0.447955779
"MVZ163239",0.040960784,0.09557495,0.511174106,0.38181178
"MVZ163242",0.0456,0.1107142,0.550978494,0.45943245
"MVZ163243",0.045463529,0.1143954,0.518377494,0.409638216
"MVZ163247",0.040149804,0.1118387,0.559340576,0.37331707
"MVZ163249",0.055396078,0.13627965,0.578405212,0.402657251
"MVZ163250",0.054515294,0.12611495,0.576643988,0.441208804
"MVZ163251",0.047666667,0.12748825,0.581131047,0.420061071
"MVZ163254",0.040466667,0.1018622,0.539540271,0.396571631
"MVZ149571",0.064353725,0.1598533,0.541590741,0.494916489
"MVZ149572",0.081212549,0.18056895,0.560980106,0.444197912
"MVZ58954",0.06078902,0.1398758,0.532848365,0.4254045
"MVZ67284",0.062087451,0.1392975,0.527112859,0.307597092
"MVZ67286",0.052106275,0.12016705,0.508935624,0.363888136
"MVZ71116",0.059298431,0.13558805,0.465126141,0.302158975
"MVZ71117",0.060882353,0.14395715,0.528304659,0.397352339
"MVZ71118",0.077944706,0.1779784,0.538629541,0.307206579
"MVZ71119",0.075291765,0.1805035,0.527982776,0.353324008
"MVZ71120",0.067765882,0.15505455,0.532412859,0.361568114
"MVZ71121",0.057118431,0.1228004,0.458980153,0.352265762
"MVZ82390",0.06830902,0.1754076,0.542041188,0.378332586
"MVZ87783",0.055769804,0.16120235,0.524121388,0.399618429
"MVZ87784",0.059332549,0.1666975,0.521640624,0.403893052
"MVZ87785",0.060399608,0.16159925,0.558924341,0.328810182
"MVZ87786",0.060231765,0.15026415,0.526185753,0.366403299
"MVZ87788",0.052892157,0.1399664,0.529762212,0.422772873
"MVZ22707",0.041849412,0.1352794,0.528854176,0.377872874
"MVZ22708",0.045357647,0.1299921,0.515190694,0.366463545
"MVZ22709",0.048124314,0.1393278,0.534663235,0.42265996
"MVZ22710",0.042099216,0.1162519,0.510826824,0.406498279
"MVZ22711",0.046961176,0.12191465,0.536295647,0.434556174
"MVZ22714",0.047681961,0.12741365,0.518078094,0.390071307
"MVZ22719",0.039925098,0.1128396,0.488962482,0.323011795
"MVZ22720",0.049833333,0.1607,0.544989176,0.317620113
"MVZ22721",0.050301961,0.1411402,0.556035894,0.334537917
"MVZ22722",0.049051765,0.1528999,0.539092459,0.343894663
"MVZ22724",0.046537255,0.14887315,0.525748518,0.361659349
"MVZ22727",0.039700392,0.11304375,0.495332859,0.340637226
"MVZ22729",0.038553725,0.11858815,0.511099024,0.331699495
"MVZ64579",0.039673725,0.11375745,0.480888682,0.386897617
"MVZ64581",0.037773333,0.1149953,0.460986094,0.359007533
"MVZ64583",0.044582353,0.1330159,0.480004224,0.325006369
"MVZ64587",0.0329,0.10140945,0.466834471,0.358527136
"MVZ64590",0.034830196,0.09669645,0.416044965,0.363358281
"MVZ64592",0.037931373,0.10826075,0.461720282,0.350654726
"MVZ64593",0.042543529,0.10993795,0.456123424,0.285918296
"MVZ162699",0.042341176,0.08606755,0.530766235,0.210720559
"MVZ162700",0.040063529,0.09260285,0.515860647,0.213010732
"MVZ162701",0.040186275,0.0859023,0.495859965,0.200965106
"MVZ162702",0.049861961,0.0970245,0.558033894,0.226703259
"MVZ162703",0.045477255,0.10903275,0.481548141,0.218329452
"MVZ162704",0.040269412,0.10008455,0.529616224,0.22738808
"MVZ162708",0.044448235,0.10045415,0.551462635,0.231984556
"MVZ162711",0.034498431,0.08281295,0.501807894,0.199634533
"MVZ165405",0.038409412,0.07981435,0.504132118,0.198491044
"MVZ165406",0.045734118,0.09015335,0.522014659,0.210038751
"MVZ165408",0.036749804,0.08968655,0.512996647,0.210533031
"MVZ165409",0.041698431,0.09315425,0.524634529,0.218748744
"MVZ165410",0.046962745,0.1030702,0.545219929,0.228136644
"MVZ165411",0.039392157,0.089195,0.546503341,0.220862837
"MVZ165415",0.036869412,0.0852151,0.537567224,0.213218013
"MVZ165416",0.041670588,0.0906681,0.526594412,0.213705829
"MVZ165417",0.03727098,0.0861288,0.540173859,0.212997337
"MVZ165419",0.043494118,0.10252145,0.564698106,0.235463447
"MVZ166913",0.04460902,0.08758905,0.529147965,0.208260746
"MVZ166915",0.034522353,0.0691445,0.506377082,0.187347294
"MVZ160767",0.048988235,0.11186845,0.546015329,0.230055173
"MVZ160768",0.043571373,0.0992514,0.463764635,0.206091229
"MVZ160769",0.038338431,0.09130855,0.507055894,0.210630504
"MVZ160772",0.048093725,0.118985,0.5343334,0.242241779
"MVZ160773",0.048278431,0.11398475,0.547504647,0.236278453
"MVZ160777",0.041922353,0.09883805,0.524667047,0.224420508
"MVZ164441",0.054436471,0.1170565,0.581176788,0.247821749
"MVZ164443",0.054220784,0.1299802,0.522384894,0.245852697
"MVZ164445",0.043509412,0.1123661,0.501356035,0.229377747
"MVZ164447",0.047520784,0.1027445,0.532695976,0.21993281
"MVZ164450",0.048799608,0.11105125,0.502088682,0.220654404
"MVZ164452",0.057924314,0.1342595,0.564417694,0.260774107
"MVZ164454",0.051990588,0.11321755,0.535183988,0.237127271
"MVZ164457",0.048991765,0.11932835,0.512068612,0.231436927
