"","lumMean","lumSD","area","maxPower","maxFreq","propPower","sumPower","meanPower","powerSD","uvMean","uvSD","swMean","swSD","mwMean","mwSD","lwMean","lwSD","dblMean","dblSD"
"MVZ139544","10861.955","2626.569","377695","348.711","24.675","0.026","13618.505","277.929","41.439","3753.803","1141.856","6385.874","1742.422","10679.851","2650.431","14035.784","3203.443","10861.955","2626.569"
"MVZ139545","10439.298","2886.759","316311","372.462","32","0.026","14371.621","293.298","54.371","3890.851","1247.126","6521.63","1912.505","10349.101","2882.092","13096.888","3514.139","10439.298","2886.759"
"MVZ139546","8125.951","3016.468","356181","443.549","32","0.028","15563.85","317.63","85.441","2833.641","1107.288","4773.443","1771.943","8140.698","3029.161","10306.186","3758.193","8125.951","3016.468"
"MVZ143776","11213.853","2984.196","294017","385.653","38.055","0.026","14806.004","302.163","50.304","5759.767","1463.027","8135.647","2175.925","11189.213","3032.902","13220.819","3417.707","11213.853","2984.196"
"MVZ152933","10056.707","2404.764","278168","325.698","26.909","0.027","12281.138","250.635","46.175","4203.751","952.514","6367.888","1610.065","9907.396","2448.871","12722.227","2894.321","10056.707","2404.764"
"MVZ152934","10607.669","4248.785","305958","633.499","32","0.03","21397.149","436.677","135.305","4349.402","1549.129","6946.529","2729.151","10608.431","4272.607","12918.525","5060.273","10607.669","4248.785"
"MVZ102593","7546.051","3256.486","591609","449.598","32","0.028","15990.953","326.346","81.65","3437.933","1311.007","5501.753","2343.541","7715.713","3266.117","8627.852","3766.739","7546.051","3256.486"
"MVZ102594","7497.723","3270.214","424971","463.449","26.909","0.028","16611.565","339.012","81.491","3292.87","1182.366","5274.007","2240.549","7675.565","3317.695","8674.442","3785.872","7497.723","3270.214"
"MVZ102596","7740.992","3287.524","498808","499.32","32","0.03","16924.459","345.397","89.061","3303.483","1131.959","5490.257","2224.21","7916.336","3305.453","8925.363","3902.667","7740.992","3287.524"
"MVZ102600","7115.881","3265.641","512376","493.394","29.344","0.031","16031.798","327.18","93.093","2625.151","1168.177","4763.445","2186.485","7324.608","3294.041","8310.874","3861.948","7115.881","3265.641"
"MVZ102601","7757.799","3233.5","451416","464.138","24.675","0.028","16470.592","336.135","80.709","3026.397","1152.602","5348.223","2148.5","7931.773","3242.918","9036.282","3877.431","7757.799","3233.5"
"MVZ102604","6708.66","2506.635","572678","314.881","26.909","0.028","11400.586","232.665","46.618","3188.14","1088.275","4853.507","1864.926","6907.059","2565.47","7650.848","2817.236","6708.66","2506.635"
"MVZ102608","8552.006","2845.479","465970","382.244","26.909","0.029","13224.7","269.892","66.466","3804.925","1201.174","6300.065","2141.641","8753.707","2859.948","9654.72","3241.33","8552.006","2845.479"
"MVZ102610","6407.23","2758.455","398679","410.901","29.344","0.03","13683.32","279.251","78.88","2475.463","846.99","4343.291","1789.001","6627.727","2780.82","7430.304","3310.109","6407.23","2758.455"
"MVZ102612","5670.636","2504.388","442379","309.075","32","0.028","11042.556","225.358","51.458","2169.138","957.413","3638.11","1620.782","5838.375","2502.634","6813.005","3053.74","5670.636","2504.388"
"MVZ102614","5536.113","2655.12","519834","369.937","26.909","0.029","12968.613","264.666","66.427","2251.921","908.623","3713.646","1698.884","5739.707","2679.126","6481.325","3180.455","5536.113","2655.12"
"MVZ102623","8171.389","2973.395","540442","412.623","26.909","0.028","14731.83","300.65","67.454","3870.977","1250.002","5936.286","2146.843","8294.348","2964.318","9450.15","3484.532","8171.389","2973.395"
"MVZ158333","8643.169","3362.17","416165","477.397","32","0.028","17139.577","349.787","74.323","3804.24","1362.273","6135.161","2457.32","8803.206","3408.72","9988.5","3838.121","8643.169","3362.17"
"MVZ42658","6859.832","2898.916","575181","406.605","26.909","0.029","14146.043","288.695","66.059","2736.388","1012.578","4651.289","1951.037","7050.035","2897.683","8019.706","3476.01","6859.832","2898.916"
"MVZ42659","9579.101","4367.246","529484","597.343","29.344","0.029","20799.117","424.472","98.486","4071.086","1677.462","6875.278","3069.41","9781.951","4411.995","10914.934","5016.402","9579.101","4367.246"
"MVZ82368","7601.561","3223.221","484329","425.127","32","0.029","14855.189","303.167","72.536","2975.347","1146.782","5415.008","2316.798","7832.059","3279.583","8629.327","3638.51","7601.561","3223.221"
"MVZ102618","6878.162","2917.555","478979","385.094","29.344","0.027","14441.802","294.731","53.716","2990.145","994.755","4557.954","1813.42","7036.997","2946.575","8181.037","3558.445","6878.162","2917.555"
"MVZ158332","6938.539","2620.816","377018","361.638","24.675","0.029","12642.377","258.008","68.694","2969.375","994.943","4799.063","1788.563","7076.201","2639.649","8164.745","3085.612","6938.539","2620.816"
"MVZ158334","6278.474","3479.605","486736","540.634","29.344","0.03","17826.855","363.813","111.053","3146.33","1382.977","4766.466","2535.119","6516.585","3539.668","6942.836","3902.558","6278.474","3479.605"
"MVZ158335","8237.629","3483.697","536345","516.366","32","0.029","17557.137","358.309","90.377","3783.665","1341.505","5983.137","2516.385","8399.62","3523.39","9440.517","3991.54","8237.629","3483.697"
"MVZ158337","7610.447","3494.932","545733","480.526","29.344","0.028","17009.369","347.13","81.222","3300.597","1282.493","5477.556","2459.005","7803.455","3531.861","8691.298","4040.068","7610.447","3494.932"
"MVZ59518","12553.965","3652.388","396826","485.712","26.909","0.027","18323.828","373.956","67.099","5639.538","1540.145","8739.045","2535.953","12557.467","3715.859","14888.224","4222.4","12553.965","3652.388"
"MVZ59534","8476.229","3523.559","365586","516.544","26.909","0.029","17748.567","362.216","102.067","3936.289","1269.171","6054.291","2269.668","8563.525","3545.555","9930.151","4213.031","8476.229","3523.559"
"MVZ59535","9753.204","3082.392","408630","439.137","29.344","0.028","15956.89","325.651","68.887","4520.476","1307.425","6615.643","2118.216","9683.523","3089.44","11932.749","3745.852","9753.204","3082.392"
"MVZ59538","9735.656","3031.709","387950","432.932","29.344","0.027","15849.091","323.451","67.401","4508.657","1295.614","6610.954","2101.125","9668.39","3048.6","11902.607","3663.601","9735.656","3031.709"
"MVZ59539","10432.506","4174.893","365355","580.022","26.909","0.027","21271.72","434.117","105.587","5098.251","1664.511","7523.824","2933.767","10503.111","4239.217","12157.337","4756.936","10432.506","4174.893"
"MVZ59541","10923.831","3488.058","341972","483.107","26.909","0.026","18403.86","375.589","70.595","5165.858","1395.64","7878.689","2483.531","10926.534","3535.264","12849.468","4065.037","10923.831","3488.058"
"MVZ59542","13202.495","3566.139","425132","469.126","29.344","0.026","18286.18","373.187","63.621","6219.576","1641.757","9276.673","2440.189","13157.079","3593.112","15692.457","4320.291","13202.495","3566.139"
