"","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"MVZ165405","55.18","159.74","44.74","6558.88","256.96","-96.14","353.1","-23.3","141.38","141.38","-23.3","818.24","137.92","11.84","67.14","376.74","51.3","51.54","376.74"
"MVZ165406","55.62","160.24","44.86","6558.82","257.6","-96.12","353.72","-23","141.76","141.76","-23","827.26","139.78","11.76","67.5","381.82","51.08","51.36","381.82"
"MVZ165408","55.8","160.92","44.86","6565.36","258.32","-96.54","354.86","-23.1","142.1","142.1","-23.1","822.18","138.94","11.84","67.5","379.5","51.04","51.32","379.5"
"MVZ165409","55.86","160.82","44.9","6562.44","258.16","-96.4","354.56","-22.96","142.06","142.06","-22.96","824.4","139.44","11.8","67.6","380.82","50.84","51.2","380.82"
"MVZ165410","55.92","160.96","44.92","6564.88","258.36","-96.46","354.82","-22.94","142.16","142.16","-22.94","825.28","139.56","11.8","67.62","381.24","50.9","51.18","381.24"
"MVZ165411","55.66","160.06","44.94","6550.6","257.28","-95.98","353.26","-22.92","141.62","141.64","-22.92","834.4","141.2","11.84","67.78","385.7","51","51.58","385.7"
"MVZ165415","55.5","160.18","44.82","6557.46","257.46","-96.2","353.66","-23.16","141.68","141.68","-23.16","825.7","139.48","11.86","67.48","380.98","51.18","51.58","380.98"
"MVZ165416","55.44","159.64","44.88","6547.46","256.9","-95.86","352.76","-23.08","141.42","141.42","-23.08","834.74","141.14","11.9","67.72","385.5","51.24","51.88","385.5"
"MVZ165417","55.82","160.44","44.92","6556.12","257.84","-96.1","353.94","-22.9","141.88","141.88","-22.9","832.1","140.82","11.74","67.7","384.58","50.98","51.38","384.58"
"MVZ165419","55.48","160.02","44.84","6557.56","257.24","-96.06","353.3","-23.04","141.56","141.56","-23.04","823.56","139.1","11.74","67.36","379.92","51","51.28","379.92"
"MVZ166913","67.28","165.98","45","6700.32","279.34","-85.5","364.84","-5.98","153.84","155.42","-14.44","592.98","97.84","9.06","61.92","266.54","42.2","43.24","264.24"
"MVZ166915","67.18","165.92","45","6700.18","279.26","-85.46","364.72","-5.98","153.84","155.38","-14.48","594.4","98.04","9.06","62.04","267.34","42.24","43.24","264.96"
"MVZ160767","114.24","149.58","45.74","6186.4","311.5","-11.32","322.82","41.96","196.34","196.34","40.96","569.22","95.76","8.26","58.12","264.32","44.98","44.98","233.22"
"MVZ160768","113.42","149.82","45.86","6172.64","310.56","-12.14","322.7","41.36","195.36","195.36","40.36","574.1","96.54","8.32","58","266.24","45.46","45.46","234.84"
"MVZ160769","113.82","149.8","45.96","6172.46","310.86","-11.7","322.56","41.72","195.7","195.7","40.7","572.18","96.1","8.3","57.82","265.08","45.46","45.46","233.82"
"MVZ160772","114","149.68","45.96","6176","311.04","-11.52","322.56","41.88","195.94","195.94","40.88","571.16","96","8.28","57.98","264.92","45.26","45.26","233.8"
"MVZ160773","114.86","149.56","45.88","6196","311.98","-10.82","322.8","42.24","196.8","196.8","41.24","571.36","96.14","8.3","58.14","265.48","45.18","45.18","234.5"
"MVZ160777","113.14","149.88","46.02","6162.36","310.12","-12.36","322.48","41.32","195","195","40.3","574.2","96.46","8.32","57.9","265.96","45.6","45.6","234.6"
