"","CONUS_005cm.1","CONUS_005cm.2","CONUS_005cm.3","CONUS_005cm.4"
"MVZ162702",72.7,59.32,42.76,255
"MVZ162703",73.66,59.5,44.06,255
"MVZ162704",68.26,55.64,41.8,255
"MVZ162708",73.18,59.1,43.06,255
"MVZ162711",74.54,60.52,44.2,255
"MVZ165405",88.7,67.6,48.4,255
"MVZ165406",91.3,69.16,50.9,255
"MVZ165408",85.6,65.72,49.42,255
"MVZ165409",86.22,65.56,49.26,255
"MVZ165410",83.38,63.48,46.6,255
"MVZ165411",83.34,63.58,46.54,255
"MVZ165415",85.4,65.3,48.38,255
"MVZ165416",81.5,61.74,44.44,255
"MVZ165417",89.58,67.84,49.78,255
"MVZ165419",88.2,67.64,49.46,255
"MVZ166913",74.54,60.54,44.06,255
"MVZ166915",73.04,59.68,44.62,255
"MVZ160767",87.86,68.66,48.56,255
"MVZ160768",88.78,68.86,49.8,255
"MVZ160769",86.68,67.84,47.46,255
"MVZ160772",84.52,65.46,45.22,255
"MVZ160773",87.04,68.88,49.42,255
"MVZ160777",86.64,67.24,46.84,255
"MVZ164441",86.74,67.74,48.44,255
"MVZ164443",83.08,65.84,47.72,255
"MVZ164445",85.8,67.52,48,255
"MVZ164447",87.78,68.76,48.94,255
"MVZ164450",86.52,68.46,48.96,255
"MVZ164452",86.82,68.46,48.64,255
"MVZ164454",85.34,67.48,49.62,255
"MVZ164457",83.54,65.74,46.58,255
"MVZ33529",73.84,56.82,41.8,255
"MVZ46851",84.9,67.74,49.28,255
"MVZ46853",82.24,66.2,48.64,255
"MVZ65511",84.42,66.68,47.34,255
"MVZ65513",86.24,70,52.32,255
"MVZ82381",79.3673469387755,65.8979591836735,57.1632653061224,255
"MVZ133192",70.18,54.06,36.72,255
"MVZ134098",151.64,128.6,100.88,255
"MVZ134099",99.8,80.16,57.36,255
"MVZ134250",86.78,70.44,52.32,255
"MVZ57430",135.14,116.72,89.44,255
"MVZ57431",136.24,119.1,93.7,255
"MVZ57432",134.3,116.96,91.7,255
"MVZ57441",133.32,115.88,90.74,255
"MVZ67608",147.76,130.62,109.16,255
"MVZ67701",89.38,73.92,56.94,255
"MVZ69178",98,76.48,51.46,255
"MVZ69181",93.18,72.46,50.56,255
"MVZ69184",94.08,73.46,52.38,255
"MVZ90359",93.7,76.52,61.54,255
"MVZ90360",93.54,76.1,62.74,255
"MVZ90361",103.04,84.86,67.12,255
"MVZ90362",96.48,79.1,64.88,255
"MVZ90365",94.58,77.64,62.36,255
"MVZ64678",119.44,95.24,66.58,255
