"","CFRAG","SDTO","STPC","CLPC","BULK","TAWC","ORGC","TOTN","CNrt","CECS","ECEC","TEB","BSAT","ALSA","ESP","PHAQ","TCEQ","GYPS","ELCO"
"MVZ19488",9.78,47.44,27.32,25.24,1.465200024,14.94,12.598200141,1.2477999907,10.52,16.74,21.96,20.74,85.72,0,5.96,7.004000015,17.24,6.26,1.36
"MVZ19496",9.78,47.44,27.32,25.24,1.465200024,14.94,12.598200141,1.2477999907,10.52,16.74,21.96,20.74,85.72,0,5.96,7.004000015,17.24,6.26,1.36
"MVZ29155",8.825,47.75,27.175,25.075,1.46775001025,15.675,11.98400014625,1.307999993375,10.05,18.025,23.7,22.675,88.075,0,7.225,7.07500004725,23.925,6.075,1.225
"MVZ3471",13.71,44.615,30.505,24.88,1.440250024775,16.4875,14.39397511505,1.260050005875,11.1725,16.9075,20.5425,18.31,82.54,0,1.945,6.883000051,28.6675,10.1125,0.76
"MVZ3472",13.71,44.615,30.505,24.88,1.440250024775,16.4875,14.39397511505,1.260050005875,11.1725,16.9075,20.5425,18.31,82.54,0,1.945,6.883000051,28.6675,10.1125,0.76
"MVZ3473",13.71,44.615,30.505,24.88,1.440250024775,16.4875,14.39397511505,1.260050005875,11.1725,16.9075,20.5425,18.31,82.54,0,1.945,6.883000051,28.6675,10.1125,0.76
"MVZ3479",13.71,44.615,30.505,24.88,1.440250024775,16.4875,14.39397511505,1.260050005875,11.1725,16.9075,20.5425,18.31,82.54,0,1.945,6.883000051,28.6675,10.1125,0.76
"MVZ3667",13.71,44.615,30.505,24.88,1.440250024775,16.4875,14.39397511505,1.260050005875,11.1725,16.9075,20.5425,18.31,82.54,0,1.945,6.883000051,28.6675,10.1125,0.76
"MVZ64599",10.0333333333333,40.7,31.6,27.7,1.45233336333333,14.6666666666667,16.509000175,1.4963333237,11.1333333333333,18.3333333333333,21.4,19.9,83.3333333333333,0,6.5,6.923333342,13.2666666666667,3.2,1.03333333333333
"MVZ90619",10.0333333333333,40.2333333333333,34.3,25.4666666666667,1.294000019,15.6666666666667,21.4566666466667,1.74500001933333,12.5666666666667,17.8333333333333,14.5666666666667,13,68.3666666666667,6.56666666666667,1.4,6.02666665633333,9.16666666666667,2.73333333333333,0.566666666666667
"MVZ10234",17.1666666666667,57.0666666666667,25.4833333333333,17.45,1.44716666058333,15.1,11.2628332280833,0.9549166728,10.3416666666667,13.5166666666667,20.1333333333333,17.675,89.225,0,2.65,7.05583332025,22.7833333333333,11.2666666666667,1.13333333333333
"MVZ10235",17.1666666666667,57.0666666666667,25.4833333333333,17.45,1.44716666058333,15.1,11.2628332280833,0.9549166728,10.3416666666667,13.5166666666667,20.1333333333333,17.675,89.225,0,2.65,7.05583332025,22.7833333333333,11.2666666666667,1.13333333333333
"MVZ24483",17.1666666666667,57.0666666666667,25.4833333333333,17.45,1.44716666058333,15.1,11.2628332280833,0.9549166728,10.3416666666667,13.5166666666667,20.1333333333333,17.675,89.225,0,2.65,7.05583332025,22.7833333333333,11.2666666666667,1.13333333333333
"MVZ5433",17.5428571428571,57.4928571428571,25.2571428571429,17.25,1.450357142,15.0785714285714,10.2827856117143,0.89750000465,10.0571428571429,13.4928571428571,21.4785714285714,19.2785714285714,90.7642857142857,0,2.83571428571429,7.14499998857143,28.4285714285714,12.9142857142857,1.20714285714286
"MVZ5434",17.5428571428571,57.4928571428571,25.2571428571429,17.25,1.450357142,15.0785714285714,10.2827856117143,0.89750000465,10.0571428571429,13.4928571428571,21.4785714285714,19.2785714285714,90.7642857142857,0,2.83571428571429,7.14499998857143,28.4285714285714,12.9142857142857,1.20714285714286
