"","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved"
"MVZ3473","0.1152806909479722","0.18979666931667777","0.3078356488501181","0.3870869908852319","-0.13471930905202775","-0.06020333068332223","0.05783564885011808","0.1370869908852319","0.12081515475814203","0.013713500750636128","-0.13471930905202778","0.11302436833467462","-0.8365739726348819","0.18147631788618393","0.33676745962247123","0.538877236208111"
"MVZ3479","0.12359854170389498","0.20222614060015212","0.30582658636529697","0.36834873133065593","-0.12640145829610502","-0.04777385939984792","0.055826586365297005","0.11834873133065597","0.10172889550973425","0.01452337252757471","-0.12640145829610502","0.14180720391235907","-0.8881977290225076","0.16290188823518015","0.32219147316633423","0.5056058331844201"
"MVZ3667","0.12381218785893859","0.1867326209894956","0.30283526669526406","0.38661992445630167","-0.1261878121410614","-0.06326737901050439","0.05283526669526406","0.13661992445630172","0.12240547488863247","0.01142613421501211","-0.1261878121410614","0.09307687523970758","-0.7984438579274592","0.176173269137968","0.34902988281671254","0.5047512485642456"
"MVZ64599","0.10797537582104744","0.20300261183386623","0.3197712121750745","0.3692508001700119","-0.14202462417895256","-0.04699738816613373","0.06977121217507451","0.1192508001700118","0.10180580802141863","0.023790258464696748","-0.14202462417895256","0.22956325744486206","-0.9362314494434448","0.17635586981408852","0.3104318543942743","0.5680984967158103"
"MVZ90619","0.126307017856927","0.19219248950355125","0.30529501675103987","0.37620547588848186","-0.123692982143073","-0.05780751049644875","0.05529501675103989","0.12620547588848188","0.11268448067219701","0.014917148736449318","-0.123692982143073","0.13161453537010054","-0.8276101918540566","0.16798889053218571","0.3395279336419357","0.4947719285722921"
"MVZ10234","0.11431093353408171","0.18146066723026258","0.29883995327776086","0.4053884459578949","-0.13568906646591827","-0.06853933276973745","0.04883995327776089","0.15538844595789486","0.1371271992793891","0.0038292637178468075","-0.13568906646591827","0.02791764762844199","-0.7799319158413878","0.19295091293181926","0.3555019537633191","0.5427562658636731"
"MVZ10235","0.11685137164289218","0.18938990178978637","0.3067404344744768","0.3870182920928446","-0.13314862835710783","-0.060610098210213646","0.0567404344744768","0.13701829209284466","0.12102217873252294","0.013107169968061045","-0.13314862835710783","0.10788336435172846","-0.8301689432144324","0.18040710319474007","0.3387325604115197","0.5325945134284313"
"MVZ24483","0.12345320337125744","0.19288869367167008","0.30271206960423797","0.38094603335283456","-0.12654679662874255","-0.05711130632832993","0.052712069604237945","0.13094603335283456","0.1151611311510261","0.011168543784491518","-0.12654679662874257","0.09667953727840245","-0.8301379017743534","0.17146694793821424","0.3387421738561594","0.5061871865149703"
"MVZ5433","0.10726469875399565","0.17879141073276175","0.30672502525788214","0.4072188652553605","-0.14273530124600434","-0.07120858926723828","0.056725025257882165","0.15721886525536047","0.13988267670579413","0.009701425321362804","-0.14273530124600436","0.06924313813463073","-0.7942919957346553","0.20008659904509177","0.350450444456348","0.5709412049840173"
"MVZ5434","0.1304206803366927","0.20544537022619536","0.30188325606464494","0.3622506933724669","-0.11957931966330729","-0.044554629773804644","0.05188325606464496","0.11225069337246697","0.09602325766514849","0.012752829378223538","-0.11957931966330729","0.13203710567505736","-0.8899513570277292","0.15389059217806983","0.3217332909473203","0.4783172786532291"
"MVZ5435","0.11348674994070657","0.1883831992686775","0.30979242103227816","0.38833762975833774","-0.13651325005929343","-0.06161680073132246","0.05979242103227816","0.13833762975833774","0.12244658162711866","0.015154717143856912","-0.13651325005929343","0.12313974309451729","-0.8358850906639441","0.184007332043123","0.33697705527339084","0.5460530002371737"
"MVZ5436","0.11220801559726529","0.19907764192366803","0.31374300196429805","0.3749713405147686","-0.13779198440273469","-0.050922358076331956","0.06374300196429807","0.1249713405147686","0.10771245262977418","0.018892840131051504","-0.1377919844027347","0.17363443806292736","-0.899947355640652","0.1759134526560783","0.31916488723669734","0.5511679376109387"
"MVZ78852","0.12127155153863443","0.19206440496637336","0.30414722244206743","0.3825168210529248","-0.12872844846136555","-0.05793559503362668","0.054147222442067454","0.1325168210529248","0.11662780992307042","0.011919422837476166","-0.12872844846136555","0.10184690727830731","-0.8320911448015579","0.174112412341857","0.3381389553415465","0.5149137938454622"
"MVZ82391","0.11758930567644063","0.1946999491672407","0.3077148404999337","0.379995904656385","-0.13241069432355937","-0.05530005083275928","0.05771484049993371","0.12999590465638497","0.1134701355874668","0.014401582710000697","-0.13241069432355937","0.12624460044836688","-0.858327500134118","0.17497276709830636","0.33035996071197643","0.5296427772942375"
"MVZ63384","0.10832835580259843","0.19373908062571002","0.31846569402495195","0.3794668695467395","-0.14167164419740158","-0.05626091937429","0.06846569402495198","0.12946686954673964","0.11373457847796531","0.022530344628614998","-0.14167164419740158","0.19556394923585402","-0.8849335378864636","0.18306836302387083","0.32305046655770464","0.5666865767896063"
"MVZ63386","0.10887213917150677","0.19798968496556676","0.3169987712426796","0.3761394046202468","-0.1411278608284932","-0.05201031503443318","0.06699877124267963","0.1261394046202468","0.10909397774345934","0.02116669451220806","-0.1411278608284932","0.19164148520237537","-0.9037666939644813","0.17962905677670885","0.3182026846474427","0.5645114433139728"
